Jogo,Number 1,Number 2,Number 3,Number 4,Number 5,Number 6
1931,2,8,9,15,22,34
1932,10,16,21,29,44,55
1933,2,14,15,19,35,59
1934,8,23,35,39,56,59
1935,1,3,10,17,23,24
1936,3,12,24,40,51,52
1937,6,10,24,29,43,55
1938,10,16,32,40,42,54
1939,7,24,29,39,45,52
1940,9,13,16,17,36,47
1941,1,9,24,38,48,49
1942,6,18,20,24,43,48
1943,9,11,12,30,39,43
1944,8,9,39,47,57,59
1945,4,8,10,21,45,54
1946,4,6,39,44,52,60
1947,8,33,40,52,55,59
1948,12,20,24,28,33,57
1949,1,6,14,22,30,56
1950,10,21,32,34,48,57
1951,14,16,19,21,33,55
1952,9,21,36,38,52,53
1953,9,26,29,42,43,45
1954,9,25,33,35,40,49
1955,15,27,33,36,41,45
1956,5,8,20,28,40,45
1957,2,14,22,23,29,47
1958,15,20,22,24,34,55
1959,8,21,27,35,43,56
1960,1,18,25,37,39,43
1961,17,25,26,30,32,50
1962,5,6,15,25,39,53
1963,4,5,7,34,42,60
1964,2,27,32,36,48,50
1965,26,28,35,38,48,55
1966,10,13,19,32,40,60
1967,13,30,32,39,46,54
1968,35,36,39,44,48,52
1969,8,20,30,32,48,59
1970,5,10,18,24,39,52
1971,4,10,41,44,52,54
1972,9,16,20,54,57,59
1973,1,12,16,17,52,60
1974,4,19,27,38,54,57
1975,8,11,24,26,47,57
1976,12,14,19,25,52,59
1977,3,16,28,32,34,37
1978,2,6,22,44,55,57
1979,22,23,29,32,38,45
1980,12,16,17,18,34,37
1981,6,15,19,37,39,53
1982,4,14,20,24,46,50
1983,5,6,10,14,22,36
1984,21,29,32,35,43,50
1985,9,28,29,34,36,55
1986,23,36,43,44,55,56
1987,10,14,31,34,45,58
1988,5,10,39,42,46,54
1989,15,22,30,32,40,58
1990,11,24,26,34,37,59
1991,19,20,28,34,36,44
1992,5,11,13,21,53,54
1993,6,17,33,48,50,57
1994,2,5,12,32,40,44
1995,14,26,29,35,37,39
1996,7,20,21,24,40,56
1997,1,7,14,31,35,46
1998,8,21,24,25,52,57
1999,15,37,38,42,49,50
2000,3,6,10,17,34,37
2001,20,22,36,42,52,60
2002,4,28,30,38,46,59
2003,28,34,40,43,50,51
2004,1,5,14,23,35,45
2005,11,19,22,33,34,53
2006,1,9,14,20,25,54
2007,4,14,39,41,54,58
2008,22,27,33,42,58,59
2009,1,37,44,46,48,50
2010,8,10,18,34,39,56
2011,2,28,32,35,54,58
2012,8,11,27,35,36,51
2013,6,23,30,36,53,56
2014,16,32,40,46,53,56
2015,17,18,27,32,39,58
2016,4,11,17,18,21,48
2017,2,10,11,24,38,56
2018,11,22,25,27,55,59
2019,23,41,46,52,54,59
2020,2,36,46,48,57,60
2021,7,14,32,37,40,60
2022,4,28,45,48,52,60
2023,1,6,7,8,23,56
2024,16,20,23,29,35,47
2025,4,24,46,52,55,56
2026,10,23,31,33,51,52
2027,11,15,29,37,39,44
2028,7,11,24,36,42,58
2029,6,15,18,33,37,40
2030,4,27,38,40,58,59
2031,18,23,37,39,50,55
2032,6,14,19,20,39,53
2033,10,18,33,38,40,43
2034,6,7,13,17,22,56
2035,30,35,36,38,49,52
2036,7,8,19,23,27,58
2037,14,16,23,30,45,60
2038,6,25,26,35,38,40
2039,6,12,22,28,31,44
2040,6,9,41,54,56,58
2041,10,12,22,25,42,54
2042,14,22,29,32,33,35
2043,21,38,53,56,57,58
2044,7,14,47,54,56,60
2045,15,25,27,45,46,50
2046,3,6,11,27,28,46
2047,1,18,19,29,44,54
2048,10,19,26,35,38,39
2049,10,19,27,31,51,53
2050,8,31,32,33,38,50
2051,1,5,6,37,44,53
2052,50,51,56,57,58,59
2053,12,22,27,37,40,55
2054,4,7,12,22,26,39
2055,6,25,35,43,46,53
2056,18,22,29,34,36,47
2057,10,13,20,37,38,54
2058,4,19,23,29,56,59
2059,4,5,36,40,44,56
2060,8,9,11,25,39,41
2061,33,36,40,44,45,54
2062,8,10,15,23,25,34
2063,6,10,19,24,25,29
2064,10,14,36,53,55,60
2065,4,11,20,30,37,43
2066,6,25,27,35,45,55
2067,2,11,13,26,32,59
2068,3,5,9,40,42,47
2069,3,17,34,35,40,48
2070,5,26,27,34,42,48
2071,24,33,34,35,46,60
2072,10,12,13,20,22,54
2073,12,15,18,30,52,55
2074,8,18,23,37,42,58
2075,7,9,23,33,57,59
2076,5,6,12,15,22,43
2077,13,16,26,35,37,39
2078,2,11,15,30,36,39
2079,1,2,14,37,55,58
2080,10,22,40,46,55,58
2081,13,18,35,40,41,42
2082,6,25,33,42,48,49
2083,1,18,19,33,56,60
2084,7,20,26,37,38,39
2085,12,21,25,37,38,49
2086,4,35,43,46,47,53
2087,2,18,19,23,34,53
2088,3,14,24,27,38,56
2089,5,10,32,38,48,49
2090,8,11,18,37,40,51
2091,10,11,12,37,38,59
2092,11,13,15,17,22,27
2093,8,14,27,34,52,54
2094,4,16,19,31,33,44
2095,16,29,35,43,49,56
2096,6,11,13,19,24,51
2097,9,24,28,45,49,51
2098,2,8,18,27,38,60
2099,5,15,20,27,30,58
2100,1,10,11,13,35,49
2101,2,8,18,37,56,58
2102,4,6,17,34,51,57
2103,3,13,40,44,46,50
2104,2,10,12,27,45,56
2105,11,13,16,24,31,46
2106,3,27,36,39,40,43
2107,8,38,44,50,56,60
2108,19,22,29,41,44,59
2109,4,12,16,34,44,49
2110,5,10,12,18,25,33
2111,1,41,44,46,54,58
2112,17,39,43,46,52,53
2113,11,14,21,25,46,50
2114,17,25,30,35,42,57
2115,4,19,27,35,40,44
2116,1,9,19,21,34,54
2117,4,28,29,30,43,52
2118,11,12,20,40,41,46
2119,19,21,26,31,42,49
2120,13,20,24,25,38,41
2121,8,10,17,29,37,40
2122,3,11,15,21,27,49
2123,14,15,47,50,56,59
2124,2,11,20,31,43,47
2125,1,31,44,46,53,58
2126,7,12,24,27,39,58
2127,1,7,28,30,44,46
2128,11,16,24,46,54,55
2129,6,12,31,32,46,60
2130,13,16,36,53,54,55
2131,2,3,6,18,20,28
2132,5,18,30,35,39,60
2133,19,20,26,51,52,57
2134,6,21,34,46,54,59
2135,9,23,28,40,48,59
2136,1,8,11,22,30,35
2137,1,2,11,12,34,49
2138,4,13,14,21,30,34
2139,14,23,29,41,57,58
2140,17,20,26,36,42,54
2141,10,11,17,19,37,41
2142,7,40,44,50,52,57
2143,2,12,35,51,57,58
2144,7,16,21,33,55,60
2145,6,8,28,51,53,59
2146,16,18,31,39,42,44
2147,17,19,37,41,42,49
2148,8,15,32,33,58,59
2149,21,23,37,44,46,48
2150,23,24,26,38,42,49
2151,2,14,18,29,36,38
2152,26,29,36,49,50,59
2153,8,13,28,31,32,33
2154,7,25,41,47,50,53
2155,2,6,27,37,44,47
2156,1,6,23,26,39,49
2157,31,33,34,35,39,48
2158,9,27,35,45,46,59
2159,14,26,35,38,45,53
2160,1,19,46,47,49,53
2161,8,9,10,24,42,44
2162,11,16,22,30,34,42
2163,8,18,20,24,36,45
2164,16,17,25,47,48,58
2165,5,37,43,49,54,56
2166,3,19,34,44,56,58
2167,27,37,38,43,45,54
2168,1,4,25,27,29,37
2169,7,34,45,51,54,59
2170,10,21,24,36,38,51
2171,12,13,19,36,44,55
2172,9,24,28,37,43,57
2173,2,9,42,44,48,50
2174,10,15,34,36,56,60
2175,7,25,32,43,53,55
2176,8,23,25,39,43,44
2177,9,11,14,31,48,51
2178,2,16,21,42,50,56
2179,2,13,24,35,50,54
2180,10,12,16,21,28,38
2181,1,8,19,33,36,48
2182,19,22,39,46,47,59
2183,13,26,30,34,43,51
2184,15,36,45,51,52,59
2185,9,18,19,22,42,47
2186,12,18,19,27,41,46
2187,10,11,16,21,46,50
2188,2,17,21,28,51,60
2189,4,11,16,22,29,33
2190,5,9,20,25,35,53
2191,4,8,26,33,46,53
2192,7,16,37,53,57,59
2193,7,8,22,27,29,42
2194,8,16,20,21,31,34
2195,14,24,32,38,46,53
2196,1,25,27,28,41,56
2197,3,11,29,35,44,57
2198,1,11,34,36,44,56
2199,15,23,30,35,38,44
2200,11,15,28,36,43,55
2201,3,13,23,41,49,53
2202,11,29,37,38,43,60
2203,17,34,46,49,50,57
2204,1,28,29,32,35,56
2205,12,21,28,37,42,57
2206,6,27,38,42,45,57
2207,6,10,11,43,53,55
2208,16,25,30,40,45,49
2209,22,25,28,32,33,47
2210,11,17,24,25,33,34
2211,27,36,40,41,44,54
2212,23,26,51,52,53,58
2213,5,7,10,32,46,60
2214,4,10,18,30,34,47
2215,1,19,21,23,33,43
2216,10,24,42,43,48,49
2217,10,14,16,30,32,36
2218,6,16,22,38,48,52
2219,8,28,36,45,57,59
2220,3,35,38,40,57,58
2221,5,23,34,45,56,57
2222,13,14,29,30,48,59
2223,2,26,40,42,49,56
2224,16,23,32,50,52,58
2225,1,32,37,44,46,47
2226,2,4,7,16,30,38
2227,6,9,12,27,32,57
2228,9,19,23,32,39,45
2229,6,11,29,40,41,58
2230,7,17,26,39,56,60
2231,4,13,25,40,53,57
2232,7,8,31,34,38,47
2233,4,6,32,35,41,45
2234,4,21,27,29,42,47
2235,14,18,30,35,55,57
2236,7,20,38,43,45,53
2237,11,20,27,28,53,60
2238,11,36,45,55,57,58
2239,7,27,31,39,45,46
2240,7,9,10,19,25,58
2241,1,13,18,26,40,56
2242,5,9,18,24,25,42
2243,14,18,28,35,38,54
2244,3,5,11,34,37,42
2245,11,14,15,18,33,34
2246,5,9,24,27,33,46
2247,1,42,44,47,48,53
2248,9,15,20,29,30,42
2249,4,9,31,47,49,53
2250,27,33,39,52,57,58
2251,5,15,22,26,54,58
2252,1,17,30,37,46,50
2253,31,32,33,39,52,55
2254,4,9,24,44,47,56
2255,15,20,39,41,49,57
2256,9,10,30,37,47,54
2257,18,21,30,31,34,51
2258,1,5,7,14,23,26
2259,20,27,41,54,56,58
2260,12,14,34,35,37,47
2261,7,23,26,27,29,51
2262,7,8,14,23,30,46
2263,9,24,33,43,49,57
2264,2,3,8,19,29,37
2265,14,20,23,39,46,50
2266,10,23,31,37,58,59
2267,20,32,33,48,49,53
2268,4,13,23,28,30,52
2269,1,11,14,23,29,55
2270,14,16,38,39,41,48
2271,6,10,27,28,41,52
2272,2,5,11,24,41,49
2273,15,16,20,38,40,58
2274,8,11,17,33,40,55
2275,2,4,25,36,50,53
2276,5,15,18,27,49,57
2277,10,22,23,37,53,60
2278,8,17,34,37,43,45
2279,5,12,14,20,27,28
2280,28,29,31,50,58,59
2281,14,27,35,40,50,55
2282,12,27,30,36,45,52
2283,4,24,37,43,59,60
2284,4,10,12,14,36,46
2285,1,7,10,12,33,42
2286,9,21,30,41,42,43
2287,2,4,6,29,41,56
2288,2,26,35,39,40,56
2289,6,9,34,37,38,45
2290,5,18,36,44,57,60
2291,12,26,31,36,37,49
2292,6,16,18,33,42,57
2293,1,2,10,37,42,48
2294,9,15,20,33,41,43
2295,6,13,26,28,35,41
2296,1,6,21,29,36,59
2297,20,22,35,40,41,59
2298,13,17,21,31,41,49
2299,2,3,19,40,44,60
2300,9,21,37,39,43,54
2301,17,18,35,36,47,52
2302,18,22,25,27,43,44
2303,3,7,17,20,48,50
2304,12,21,29,54,56,57
2305,7,16,22,38,55,57
2306,3,19,28,33,57,58
2307,16,33,38,46,53,55
2308,9,13,26,38,58,60
2309,9,11,29,30,33,60
2310,13,17,28,29,42,53
2311,3,5,9,35,43,60
2312,3,27,39,46,47,60
2313,3,20,26,45,49,58
2314,6,7,28,42,45,49
2315,1,10,17,26,30,53
2316,2,11,43,49,52,56
2317,3,8,30,33,35,48
2318,28,44,52,54,58,60
2319,6,17,25,35,40,49
2320,6,30,35,39,42,48
2321,14,25,28,41,43,46
2322,2,5,10,29,34,41
2323,20,27,35,39,50,59
2324,2,16,19,31,43,60
2325,33,34,37,46,52,60
2326,10,16,27,34,36,57
2327,30,37,45,54,57,58
2328,8,11,14,39,48,53
2329,12,14,28,42,45,55
